IF,Shapre Fac,CF,RMS,Kur,Skew,Var,SD,Mean,Range,TARGET
0.91064884,1.00187538,0.908944225,20.66451264,-0.395024593,-0.610318442,1.597162599,1.263788985,-20.62583138,5.20338983,2UL
0.912863538,1.001852141,0.911175912,20.6714761,-0.395301053,-0.62794925,1.578489797,1.256379639,-20.63326039,5.15899919,2UL
0.912458168,1.001846584,0.910776343,20.65927686,-0.376659481,-0.630960912,1.571909643,1.253758207,-20.62119809,5.14205004,2UL
0.914817892,1.001842138,0.913135769,20.66334813,-0.388104127,-0.623141231,1.568753931,1.252499074,-20.62535338,5.11702986,2UL
0.911504482,1.001864095,0.909808513,20.66262429,-0.381457975,-0.620624778,1.587288654,1.259876444,-20.62417887,5.17433414,2UL
0.911150906,1.001863921,0.909455752,20.65200235,-0.391496723,-0.620748949,1.585510033,1.259170375,-20.61358025,5.18724778,2UL
0.913963658,1.001843158,0.912282178,20.64463971,-0.372210922,-0.631032034,1.566779019,1.251710437,-20.60665838,5.10573043,2UL
0.911564719,1.001874932,0.909858796,20.66236944,-0.389359543,-0.617032361,1.596451117,1.263507466,-20.62370141,5.23486683,2UL
0.912534721,1.001849637,0.91084998,20.66558157,-0.374338469,-0.628039511,1.575462373,1.25517424,-20.62742832,5.15657789,2UL
0.912181704,1.00183345,0.910512326,20.65108451,-0.351175228,-0.634796285,1.559522339,1.248808368,-20.61329108,5.12671509,2UL
0.912145954,1.001876724,0.910437315,20.65810494,-0.387190858,-0.627942322,1.597313188,1.263848562,-20.61940801,5.19774012,2UL
0.909509878,1.001890452,0.907793738,20.67292007,-0.414535348,-0.60454604,1.611272676,1.26935916,-20.63391266,5.22114608,2UL
0.910557345,1.001852367,0.908873777,20.67588265,-0.400716723,-0.620855356,1.579355005,1.256723918,-20.63765414,5.16787732,2UL
0.912734272,1.001843537,0.911054709,20.66270946,-0.375311683,-0.622287676,1.569844962,1.25293454,-20.62468709,5.16626311,2UL
0.909744415,1.001836295,0.908076918,20.66647329,-0.358882342,-0.628238761,1.564264235,1.250705495,-20.62859312,5.23567393,2UL
0.91029869,1.001875448,0.908594668,20.66890956,-0.405683938,-0.612819621,1.597900838,1.264081025,-20.63021865,5.2267958,2UL
0.910412107,1.001854794,0.908726607,20.66057961,-0.386541021,-0.611565505,1.579078139,1.256613759,-20.62232944,5.17675545,2UL
0.910908066,1.001858318,0.909218449,20.65472938,-0.360936768,-0.631910694,1.58117437,1.257447562,-20.61641752,5.22437449,2UL
0.911324516,1.001857741,0.909634651,20.65858808,-0.381737815,-0.622006764,1.58127565,1.257487833,-20.62028093,5.16222761,2UL
0.912155285,1.001839268,0.910480667,20.66864528,-0.372273639,-0.645354092,1.567119725,1.251846526,-20.63069989,5.15173527,2UL
0.914055487,1.001842165,0.912374742,20.66554528,-0.363611698,-0.64092756,1.569110553,1.25264143,-20.62754593,5.0968523,2UL
0.91237724,1.001866871,0.910677124,20.66507278,-0.391028964,-0.612937882,1.590022452,1.260960924,-20.62656565,5.17675545,2UL
